geoid,NAME,state,county,tract,households_total,median_income,hh_broadband_any,hh_no_internet,pct_broadband_any,pct_no_internet,pct_households_with_computer,pct_households_with_broadband_DP
36005021001,Census Tract 210.01; Bronx County; New York,36,5,21001,3563,52629.0,3210,325,90.09261857984843,9.121526803255684,11.1,3563
36005021002,Census Tract 210.02; Bronx County; New York,36,5,21002,3158,73188.0,2731,269,86.47878404053199,8.518049398353387,5.2,3158
36005021100,Census Tract 211; Bronx County; New York,36,5,21100,2002,52128.0,1778,136,88.81118881118881,6.793206793206793,4.7,2002
36005021200,Census Tract 212; Bronx County; New York,36,5,21200,2325,68926.0,2021,241,86.9247311827957,10.365591397849462,5.7,2325
36005021301,Census Tract 213.01; Bronx County; New York,36,5,21301,447,37171.0,443,0,99.10514541387025,0.0,0.0,447
36005021302,Census Tract 213.02; Bronx County; New York,36,5,21302,2324,37049.0,2085,183,89.71600688468159,7.874354561101549,4.0,2324
36005021501,Census Tract 215.01; Bronx County; New York,36,5,21501,1348,37171.0,1205,101,89.39169139465875,7.492581602373888,0.8,1348
36005021502,Census Tract 215.02; Bronx County; New York,36,5,21502,2322,20415.0,2233,89,96.16709732988802,3.832902670111973,1.1,2322
36005021601,Census Tract 216.01; Bronx County; New York,36,5,21601,1582,33990.0,1335,212,84.38685208596713,13.400758533501897,5.9,1582
36005021602,Census Tract 216.02; Bronx County; New York,36,5,21602,2345,58569.0,2112,155,90.0639658848614,6.609808102345416,4.2,2345
36005021700,Census Tract 217; Bronx County; New York,36,5,21700,1939,36195.0,1428,319,73.6462093862816,16.451779267663742,1.5,1939
36005021800,Census Tract 218; Bronx County; New York,36,5,21800,2329,60108.0,2122,76,91.11206526406183,3.2632030914555603,1.7,2329
36005021900,Census Tract 219; Bronx County; New York,36,5,21900,489,48444.0,369,91,75.4601226993865,18.609406952965234,0.0,489
36005022000,Census Tract 220; Bronx County; New York,36,5,22000,650,23910.0,451,178,69.38461538461539,27.384615384615387,5.5,650
36005022101,Census Tract 221.01; Bronx County; New York,36,5,22101,1339,52176.0,1147,73,85.66094100074683,5.4518297236743845,0.5,1339
36005022102,Census Tract 221.02; Bronx County; New York,36,5,22102,1681,33614.0,1392,184,82.8078524687686,10.945865556216537,1.7,1681
36005022200,Census Tract 222; Bronx County; New York,36,5,22200,1089,48110.0,1007,70,92.47015610651974,6.42791551882461,1.1,1089
36005022300,Census Tract 223; Bronx County; New York,36,5,22300,2103,45257.0,1827,179,86.87589158345222,8.511650023775559,5.9,2103
36005022401,Census Tract 224.01; Bronx County; New York,36,5,22401,965,53398.0,866,99,89.74093264248705,10.259067357512954,0.0,965
36005022403,Census Tract 224.03; Bronx County; New York,36,5,22403,1154,72143.0,1061,93,91.94107452339688,8.05892547660312,5.7,1154
36005022404,Census Tract 224.04; Bronx County; New York,36,5,22404,1875,61760.0,1716,159,91.52,8.48,6.3,1875
36005022500,Census Tract 225; Bronx County; New York,36,5,22500,2225,50243.0,1954,231,87.82022471910112,10.382022471910112,0.4,2225
36005022701,Census Tract 227.01; Bronx County; New York,36,5,22701,2025,37828.0,1808,120,89.28395061728395,5.9259259259259265,4.2,2025
36005022702,Census Tract 227.02; Bronx County; New York,36,5,22702,545,34145.0,497,48,91.19266055045871,8.807339449541285,3.0,545
36005022703,Census Tract 227.03; Bronx County; New York,36,5,22703,695,60694.0,598,88,86.0431654676259,12.661870503597122,6.9,695
36005022800,Census Tract 228; Bronx County; New York,36,5,22800,2381,83859.0,2177,160,91.43217135657287,6.719865602687946,1.7,2381
36005022901,Census Tract 229.01; Bronx County; New York,36,5,22901,1970,52222.0,1748,207,88.73096446700508,10.50761421319797,1.5,1970
36005022902,Census Tract 229.02; Bronx County; New York,36,5,22902,1186,47833.0,903,223,76.13827993254637,18.802698145025296,5.6,1186
36005023000,Census Tract 230; Bronx County; New York,36,5,23000,965,53826.0,890,62,92.2279792746114,6.424870466321243,0.0,965
36005023100,Census Tract 231; Bronx County; New York,36,5,23100,404,,373,0,92.32673267326733,0.0,1.4,404
36005023200,Census Tract 232; Bronx County; New York,36,5,23200,867,50893.0,716,146,82.5836216839677,16.839677047289502,0.6,867
36005023301,Census Tract 233.01; Bronx County; New York,36,5,23301,1622,37936.0,1480,77,91.24537607891492,4.747225647348952,8.7,1622
